id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019dceca-7461-7c0f-a9d2-3edfdc9c58fe,Bayo Ouédraogo,male,0.99,27,adult,NG,Nigeria,0.81,2026-04-27T11:54:29.787Z
019dceca-7461-7c0f-a9d2-3f283aceb9e1,Cheikh Agyei,male,0.79,49,adult,NG,Nigeria,0.19,2026-04-27T11:54:29.787Z
019dceca-7461-7c0f-a9d2-3f5151b3b942,Ibrahima Olawale,male,0.71,53,adult,NG,Nigeria,0.48,2026-04-27T11:54:29.787Z
019dceca-7461-7c0f-a9d2-3f614e20e33c,Alexis Camara,male,0.93,20,adult,NG,Nigeria,0.12,2026-04-27T11:54:29.787Z
019dceca-7462-7389-8198-9a89646a7257,Cheikh Zongo,male,0.95,81,senior,NG,Nigeria,0.14,2026-04-27T11:54:29.787Z
019dceca-7462-7389-8198-9ad0f37c1781,Femi Boateng,male,0.95,27,adult,NG,Nigeria,0.59,2026-04-27T11:54:29.787Z
019dceca-7462-7389-8198-9adeafe998b9,Arsène Okonkwo,male,0.78,81,senior,NG,Nigeria,0.63,2026-04-27T11:54:29.787Z
019dceca-7462-7389-8198-9b29d8cd0098,Oumar Dossou,male,0.83,33,adult,NG,Nigeria,0.66,2026-04-27T11:54:29.787Z
019dceca-7462-7389-8198-9b6dbe135500,David Amoah,male,0.87,40,adult,NG,Nigeria,0.17,2026-04-27T11:54:29.787Z
019dceca-7463-7c47-a8a9-c5964c35c524,Ebo Adeyemi,male,0.91,29,adult,NG,Nigeria,0.58,2026-04-27T11:54:29.787Z
019dceca-7463-7c47-a8a9-c59ce6f4124f,Kojo Chukwu,male,0.72,5,child,NG,Nigeria,0.25,2026-04-27T11:54:29.787Z
019dceca-7463-7c47-a8a9-c59f976c4d6d,Kwame Tchalla,male,0.76,39,adult,NG,Nigeria,0.43,2026-04-27T11:54:29.787Z
019dceca-7463-7c47-a8a9-c5b00005c5f3,Arsène Camara,male,0.88,15,teenager,NG,Nigeria,0.45,2026-04-27T11:54:29.787Z
019dceca-7463-7c47-a8a9-c5cd1dfa89cd,Moussa Segla,male,0.8,19,teenager,NG,Nigeria,0.56,2026-04-27T11:54:29.787Z
019dceca-7463-7c47-a8a9-c5dc95cc3f8c,Calixte Compaoré,male,0.98,43,adult,NG,Nigeria,0.84,2026-04-27T11:54:29.787Z
019dceca-7463-7c47-a8a9-c6037f36dffd,Joseph Chukwu,male,0.93,18,teenager,NG,Nigeria,0.16,2026-04-27T11:54:29.787Z
019dceca-7463-7c47-a8a9-c608ab6cc889,Kojo Eze,male,0.88,24,adult,NG,Nigeria,0.86,2026-04-27T11:54:29.787Z
019dceca-7464-7616-9180-e5509a531c7c,Ade Olawale,male,0.66,36,adult,NG,Nigeria,0.1,2026-04-27T11:54:29.787Z
019dceca-7464-7616-9180-e56ae6980e8e,Cheikh Konaté,male,0.97,59,adult,NG,Nigeria,0.64,2026-04-27T11:54:29.787Z
019dceca-7465-7848-b12a-addde512dfb4,Ebo Gbessi,male,0.66,52,adult,NG,Nigeria,0.86,2026-04-27T11:54:29.787Z
019dceca-7468-759f-a20f-fee3932a9fed,Ama Agyei,male,0.82,5,child,NG,Nigeria,0.91,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-7fe8127421ee,Richard Barro,male,0.77,58,adult,NG,Nigeria,0.91,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-80006137a8de,Tunde Barro,male,0.79,84,senior,NG,Nigeria,0.47,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-8001bd0556c8,Lamine Kponton,male,0.83,52,adult,NG,Nigeria,0.45,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-805f03d950ed,Franck Okafor,male,0.77,73,senior,NG,Nigeria,0.49,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-8061583b5893,Lamine Dao,male,0.92,51,adult,NG,Nigeria,0.7,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-80661f393937,Kwame Amoah,male,0.76,26,adult,NG,Nigeria,0.21,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-8080f1f5dedf,Cheikh Owusu,male,0.91,9,child,NG,Nigeria,0.21,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-809038f7f74f,Samuel Sidibé,male,0.86,68,senior,NG,Nigeria,0.39,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-809176fbda11,Abdou Nikiéma,male,0.69,21,adult,NG,Nigeria,0.28,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-80a490bca0de,Paul Tapsoba,male,0.8,18,teenager,NG,Nigeria,0.65,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-80a6916f129b,Bayo Diallo,male,0.83,9,child,NG,Nigeria,0.45,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-80b8087b8cf7,Emeka Camara,male,0.85,38,adult,NG,Nigeria,0.6,2026-04-27T11:54:29.787Z
019dceca-746a-789e-82b1-80bf76e8b5b2,Bayo Antwi,male,0.98,74,senior,NG,Nigeria,0.55,2026-04-27T11:54:29.787Z
019dceca-746b-7214-8e80-399c0059cd46,Kwame Bah,male,0.88,35,adult,NG,Nigeria,0.9,2026-04-27T11:54:29.787Z
019dceca-746b-7214-8e80-399d52778e41,Moussa Okafor,male,0.9,8,child,NG,Nigeria,0.36,2026-04-27T11:54:29.787Z
019dceca-746b-7214-8e80-39b0b2e40832,Franck Igwe,male,0.98,58,adult,NG,Nigeria,0.44,2026-04-27T11:54:29.787Z
019dceca-746b-7214-8e80-3a3cce4326c7,Mamadou Barro,male,0.7,21,adult,NG,Nigeria,0.73,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b1f270fab282,Tunde Sow,male,0.86,40,adult,NG,Nigeria,0.52,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b1f600e53372,Didier Barro,male,0.96,79,senior,NG,Nigeria,0.91,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b22e524c0799,Kunle Hounsou,male,0.96,29,adult,NG,Nigeria,0.22,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b25daf05f84c,Tunde Sawadogo,male,0.95,16,teenager,NG,Nigeria,0.37,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b2828dc6f08b,Kojo Camara,male,0.71,12,child,NG,Nigeria,0.1,2026-04-27T11:54:29.787Z
